investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status,cohort_year,gap_days
INV000012,2024-10-21,119095,Redemption,314316,Uttar Pradesh,Kanpur,B30,46-55,Male,51.6,Mandate,Verified,2024,65.0
INV000012,2025-01-16,100016,SIP,1097,Uttar Pradesh,Kanpur,B30,46-55,Male,51.6,Net Banking,Verified,2025,65.0
INV000012,2025-03-05,119552,SIP,13290,Uttar Pradesh,Kanpur,B30,46-55,Male,51.6,Cheque,Verified,2025,48.0
INV000012,2025-04-30,118633,SIP,2149,Uttar Pradesh,Kanpur,B30,46-55,Male,51.6,UPI,Verified,2025,46.0
INV000013,2024-07-17,120503,SIP,42280,Maharashtra,Nashik,B30,18-25,Male,5.2,Mandate,Verified,2024,82.0
INV000013,2024-11-11,118635,Lumpsum,314283,Maharashtra,Nashik,B30,18-25,Male,5.2,UPI,Verified,2024,99.0
INV000013,2025-03-16,118635,SIP,499,Maharashtra,Nashik,B30,18-25,Male,5.2,Net Banking,Verified,2025,78.0
INV000014,2024-06-02,125497,SIP,6852,Tamil Nadu,Chennai,T30,18-25,Male,4.3,Mandate,Verified,2024,67.0
INV000014,2024-10-08,119120,SIP,46056,Tamil Nadu,Chennai,T30,18-25,Male,4.3,UPI,Verified,2024,119.0
INV000014,2024-11-26,149322,SIP,26429,Tamil Nadu,Chennai,T30,18-25,Male,4.3,Mandate,Verified,2024,49.0
INV000014,2025-01-12,119120,SIP,8150,Tamil Nadu,Chennai,T30,18-25,Male,4.3,Mandate,Verified,2025,47.0
INV000014,2025-05-20,149323,SIP,41507,Tamil Nadu,Chennai,T30,18-25,Male,4.3,Cheque,Verified,2025,104.0
INV000015,2025-05-12,120504,Redemption,217144,Gujarat,Surat,T30,36-45,Male,27.8,Net Banking,Verified,2025,127.0
INV000016,2024-10-18,120844,Lumpsum,153865,Tamil Nadu,Chennai,T30,26-35,Female,21.0,Cheque,Verified,2024,122.0
INV000016,2024-12-10,148567,Lumpsum,473272,Tamil Nadu,Chennai,T30,26-35,Female,21.0,Net Banking,Verified,2024,53.0
INV000017,2024-05-07,148568,Redemption,430273,Gujarat,Surat,T30,46-55,Female,31.5,Mandate,Verified,2024,74.0
INV000017,2025-01-26,148569,Redemption,273679,Gujarat,Surat,T30,46-55,Female,31.5,Cheque,Pending,2025,264.0
INV000017,2025-03-23,120503,SIP,12884,Gujarat,Surat,T30,46-55,Female,31.5,UPI,Pending,2025,56.0
INV000018,2025-01-18,102886,SIP,8983,Telangana,Hyderabad,T30,56+,Male,37.9,Net Banking,Verified,2025,234.0
INV000018,2025-03-09,100016,SIP,2834,Telangana,Hyderabad,T30,56+,Male,37.9,UPI,Verified,2025,50.0
INV000018,2025-04-25,101208,Lumpsum,85818,Telangana,Hyderabad,T30,56+,Male,37.9,Cheque,Verified,2025,47.0
INV000019,2025-03-02,118635,SIP,23528,Gujarat,Ahmedabad,T30,18-25,Female,5.1,Net Banking,Verified,2025,406.0
INV000020,2024-11-13,119598,Lumpsum,383395,Delhi,Noida,T30,36-45,Female,17.0,Cheque,Pending,2024,122.0
INV000020,2025-01-11,119599,Redemption,162784,Delhi,Noida,T30,36-45,Female,17.0,Cheque,Verified,2025,59.0
INV000020,2025-04-13,101208,Lumpsum,367585,Delhi,Noida,T30,36-45,Female,17.0,UPI,Verified,2025,92.0
INV000021,2024-06-06,120844,SIP,20323,Uttar Pradesh,Agra,B30,46-55,Male,76.8,Cheque,Pending,2024,89.0
INV000021,2024-10-27,119095,Lumpsum,380396,Uttar Pradesh,Agra,B30,46-55,Male,76.8,Mandate,Verified,2024,137.0
INV000021,2025-03-12,120841,Lumpsum,162107,Uttar Pradesh,Agra,B30,46-55,Male,76.8,Net Banking,Verified,2025,136.0
INV000022,2024-05-18,149324,SIP,8800,Telangana,Hyderabad,T30,36-45,Male,37.4,UPI,Verified,2024,112.0
INV000022,2024-06-27,148568,SIP,3421,Telangana,Hyderabad,T30,36-45,Male,37.4,Mandate,Verified,2024,40.0
INV000022,2024-09-23,119092,Redemption,60380,Telangana,Hyderabad,T30,36-45,Male,37.4,Cheque,Verified,2024,88.0
INV000022,2024-11-23,101206,Redemption,461229,Telangana,Hyderabad,T30,36-45,Male,37.4,Mandate,Verified,2024,61.0
INV000022,2025-05-20,100033,Redemption,359562,Telangana,Hyderabad,T30,36-45,Male,37.4,UPI,Verified,2025,178.0
INV000023,2024-06-10,119093,SIP,1075,West Bengal,Kolkata,T30,46-55,Female,61.9,Cheque,Verified,2024,66.0
INV000023,2024-09-28,119552,SIP,55420,West Bengal,Kolkata,T30,46-55,Female,61.9,Net Banking,Verified,2024,85.0
INV000023,2024-12-11,149322,SIP,52489,West Bengal,Kolkata,T30,46-55,Female,61.9,UPI,Verified,2024,49.0
INV000023,2025-04-05,148569,SIP,5284,West Bengal,Kolkata,T30,46-55,Female,61.9,Cheque,Verified,2025,115.0
INV000024,2024-10-19,102885,SIP,53450,Delhi,Gurugram,T30,36-45,Female,27.0,UPI,Verified,2024,167.0
INV000024,2024-12-27,119093,SIP,2215,Delhi,Gurugram,T30,36-45,Female,27.0,UPI,Verified,2024,41.0
INV000024,2025-02-12,120841,Lumpsum,428072,Delhi,Gurugram,T30,36-45,Female,27.0,Net Banking,Verified,2025,47.0
INV000026,2024-05-23,120842,Lumpsum,272508,West Bengal,Kolkata,T30,36-45,Male,29.5,Mandate,Pending,2024,97.0
INV000026,2024-11-02,120841,SIP,27393,West Bengal,Kolkata,T30,36-45,Male,29.5,Mandate,Verified,2024,132.0
INV000026,2025-03-27,118632,SIP,876,West Bengal,Kolkata,T30,36-45,Male,29.5,Mandate,Verified,2025,145.0
INV000027,2024-10-12,118633,Lumpsum,125155,Punjab,Chandigarh,T30,26-35,Male,20.7,Mandate,Verified,2024,136.0
INV000027,2024-11-28,119599,Lumpsum,244519,Punjab,Chandigarh,T30,26-35,Male,20.7,Cheque,Verified,2024,38.0
INV000027,2025-05-05,100016,SIP,10623,Punjab,Chandigarh,T30,26-35,Male,20.7,Net Banking,Verified,2025,140.0
INV000028,2024-05-20,119094,SIP,8402,Gujarat,Surat,T30,18-25,Female,6.1,UPI,Pending,2024,102.0
INV000028,2024-07-16,119551,Lumpsum,385186,Gujarat,Surat,T30,18-25,Female,6.1,Net Banking,Verified,2024,57.0
INV000028,2025-04-14,101207,SIP,932,Gujarat,Surat,T30,18-25,Female,6.1,Mandate,Verified,2025,232.0
INV000028,2025-05-20,149323,SIP,4569,Gujarat,Surat,T30,18-25,Female,6.1,Net Banking,Verified,2025,36.0
INV000029,2024-07-26,100033,SIP,17417,Rajasthan,Udaipur,B30,26-35,Female,7.6,Net Banking,Verified,2024,71.0
INV000029,2024-11-05,118632,SIP,3544,Rajasthan,Udaipur,B30,26-35,Female,7.6,UPI,Verified,2024,55.0
INV000029,2025-01-05,149323,Redemption,48411,Rajasthan,Udaipur,B30,26-35,Female,7.6,UPI,Verified,2025,52.0
INV000029,2025-04-21,120844,Lumpsum,40092,Rajasthan,Udaipur,B30,26-35,Female,7.6,Mandate,Verified,2025,51.0
INV000030,2024-04-25,120843,SIP,2937,Delhi,Noida,T30,18-25,Female,5.1,UPI,Verified,2024,45.0
INV000030,2024-08-16,148567,SIP,2182,Delhi,Noida,T30,18-25,Female,5.1,UPI,Verified,2024,92.0
INV000030,2024-11-03,100025,Redemption,247233,Delhi,Noida,T30,18-25,Female,5.1,Mandate,Verified,2024,79.0
INV000030,2025-01-23,118636,SIP,14544,Delhi,Noida,T30,18-25,Female,5.1,Net Banking,Verified,2025,60.0
INV000030,2025-03-06,119094,SIP,2212,Delhi,Noida,T30,18-25,Female,5.1,Mandate,Pending,2025,42.0
INV000031,2024-07-13,120842,SIP,442,Madhya Pradesh,Indore,T30,36-45,Male,27.3,UPI,Verified,2024,135.0
INV000031,2025-04-29,119094,SIP,6551,Madhya Pradesh,Indore,T30,36-45,Male,27.3,Net Banking,Verified,2025,262.0
INV000032,2024-03-01,120843,SIP,14929,Delhi,Noida,T30,36-45,Male,21.8,UPI,Verified,2024,54.0
INV000032,2024-08-14,120844,SIP,512,Delhi,Noida,T30,36-45,Male,21.8,Net Banking,Verified,2024,166.0
INV000032,2024-10-29,148568,Redemption,335798,Delhi,Noida,T30,36-45,Male,21.8,Net Banking,Verified,2024,76.0
INV000032,2024-12-11,120507,SIP,2499,Delhi,Noida,T30,36-45,Male,21.8,Mandate,Verified,2024,43.0
INV000032,2025-04-16,102885,Redemption,374154,Delhi,Noida,T30,36-45,Male,21.8,Net Banking,Verified,2025,104.0
INV000033,2024-04-07,119095,Lumpsum,183387,Delhi,New Delhi,T30,36-45,Female,12.4,UPI,Verified,2024,65.0
INV000033,2024-06-24,119092,SIP,527,Delhi,New Delhi,T30,36-45,Female,12.4,UPI,Verified,2024,77.0
INV000033,2024-08-19,119093,SIP,2990,Delhi,New Delhi,T30,36-45,Female,12.4,Mandate,Verified,2024,56.0
INV000033,2024-10-08,148567,SIP,403,Delhi,New Delhi,T30,36-45,Female,12.4,Mandate,Verified,2024,50.0
INV000033,2024-12-05,148569,SIP,8031,Delhi,New Delhi,T30,36-45,Female,12.4,Cheque,Verified,2024,52.0
INV000033,2025-02-10,149324,SIP,4534,Delhi,New Delhi,T30,36-45,Female,12.4,UPI,Verified,2025,67.0
INV000033,2025-05-09,101207,SIP,26377,Delhi,New Delhi,T30,36-45,Female,12.4,Cheque,Verified,2025,87.0
INV000034,2024-12-30,118634,Lumpsum,240311,Punjab,Chandigarh,T30,26-35,Male,24.5,Cheque,Verified,2024,62.0
INV000034,2025-02-10,125497,SIP,936,Punjab,Chandigarh,T30,26-35,Male,24.5,Mandate,Verified,2025,42.0
INV000035,2025-04-04,118634,SIP,874,Gujarat,Ahmedabad,T30,26-35,Male,20.9,Cheque,Verified,2025,144.0
INV000036,2024-09-05,119551,SIP,8337,West Bengal,Kolkata,T30,36-45,Male,49.7,Net Banking,Verified,2024,99.0
INV000037,2024-07-19,118632,Lumpsum,274884,Rajasthan,Udaipur,B30,26-35,Male,7.5,Cheque,Verified,2024,61.0
INV000037,2024-11-22,120505,SIP,2371,Rajasthan,Udaipur,B30,26-35,Male,7.5,Mandate,Verified,2024,126.0
INV000037,2025-01-20,102885,Redemption,372223,Rajasthan,Udaipur,B30,26-35,Male,7.5,Mandate,Verified,2025,59.0
INV000038,2024-08-14,119095,SIP,903,West Bengal,Kolkata,T30,56+,Female,22.4,Cheque,Verified,2024,139.0
INV000038,2025-02-13,120843,SIP,20442,West Bengal,Kolkata,T30,56+,Female,22.4,Mandate,Pending,2025,183.0
INV000038,2025-04-17,120504,Lumpsum,237886,West Bengal,Kolkata,T30,56+,Female,22.4,Net Banking,Verified,2025,39.0
INV000039,2024-07-10,120506,SIP,1030,Madhya Pradesh,Bhopal,B30,26-35,Male,6.5,Mandate,Verified,2024,46.0
INV000039,2024-09-06,125497,Lumpsum,106846,Madhya Pradesh,Bhopal,B30,26-35,Male,6.5,Net Banking,Verified,2024,58.0
INV000039,2024-11-16,101207,SIP,57252,Madhya Pradesh,Bhopal,B30,26-35,Male,6.5,Cheque,Verified,2024,71.0
INV000039,2025-02-18,120842,SIP,8927,Madhya Pradesh,Bhopal,B30,26-35,Male,6.5,Net Banking,Verified,2025,94.0
INV000039,2025-04-05,119095,SIP,28830,Madhya Pradesh,Bhopal,B30,26-35,Male,6.5,Cheque,Verified,2025,46.0
INV000040,2024-03-25,119094,Lumpsum,236631,Karnataka,Mysore,B30,26-35,Male,14.7,UPI,Verified,2024,42.0
INV000040,2024-06-26,148569,SIP,1989,Karnataka,Mysore,B30,26-35,Male,14.7,Net Banking,Verified,2024,40.0
INV000040,2024-10-22,120507,SIP,2669,Karnataka,Mysore,B30,26-35,Male,14.7,Net Banking,Verified,2024,118.0
INV000040,2025-01-02,125498,SIP,10477,Karnataka,Mysore,B30,26-35,Male,14.7,UPI,Verified,2025,63.0
INV000040,2025-05-21,120505,Lumpsum,300081,Karnataka,Mysore,B30,26-35,Male,14.7,Cheque,Verified,2025,109.0
INV000041,2024-09-30,120503,SIP,2747,Karnataka,Mysore,B30,46-55,Male,25.0,UPI,Verified,2024,144.0
INV000041,2024-12-25,120506,Lumpsum,351970,Karnataka,Mysore,B30,46-55,Male,25.0,Mandate,Verified,2024,86.0
INV000041,2025-02-06,120841,Lumpsum,459781,Karnataka,Mysore,B30,46-55,Male,25.0,Cheque,Verified,2025,43.0
INV000041,2025-03-14,120506,Lumpsum,336938,Karnataka,Mysore,B30,46-55,Male,25.0,Net Banking,Verified,2025,36.0
INV000043,2024-06-18,100016,Lumpsum,113513,Madhya Pradesh,Indore,T30,26-35,Male,23.7,UPI,Verified,2024,76.0
INV000043,2025-03-31,101208,SIP,22261,Madhya Pradesh,Indore,T30,26-35,Male,23.7,UPI,Verified,2025,286.0
INV000044,2024-03-27,120841,Lumpsum,122875,Karnataka,Mysore,B30,36-45,Male,34.9,Net Banking,Verified,2024,59.0
INV000044,2025-01-11,119092,SIP,841,Karnataka,Mysore,B30,36-45,Male,34.9,Mandate,Verified,2025,290.0
INV000044,2025-03-29,120506,Lumpsum,98532,Karnataka,Mysore,B30,36-45,Male,34.9,Net Banking,Verified,2025,60.0
INV000045,2024-04-30,125498,Lumpsum,420124,Uttar Pradesh,Lucknow,T30,36-45,Male,26.2,UPI,Verified,2024,48.0
INV000045,2024-06-25,120841,SIP,24208,Uttar Pradesh,Lucknow,T30,36-45,Male,26.2,Cheque,Pending,2024,56.0
INV000045,2024-08-08,119120,SIP,805,Uttar Pradesh,Lucknow,T30,36-45,Male,26.2,UPI,Pending,2024,44.0
INV000045,2024-10-11,100016,Lumpsum,300202,Uttar Pradesh,Lucknow,T30,36-45,Male,26.2,UPI,Verified,2024,40.0
INV000045,2025-03-01,119093,SIP,54252,Uttar Pradesh,Lucknow,T30,36-45,Male,26.2,Cheque,Verified,2025,70.0
INV000046,2024-04-28,118633,Lumpsum,487863,Gujarat,Ahmedabad,T30,26-35,Female,24.5,Net Banking,Verified,2024,39.0
INV000046,2025-02-14,119599,SIP,17888,Gujarat,Ahmedabad,T30,26-35,Female,24.5,UPI,Verified,2025,292.0
INV000046,2025-04-12,118635,Lumpsum,156296,Gujarat,Ahmedabad,T30,26-35,Female,24.5,UPI,Verified,2025,38.0
INV000047,2024-03-27,102887,SIP,4916,Haryana,Faridabad,B30,36-45,Male,23.6,UPI,Verified,2024,77.0
INV000047,2024-07-29,119092,Lumpsum,356528,Haryana,Faridabad,B30,36-45,Male,23.6,Net Banking,Verified,2024,115.0
INV000047,2024-09-08,149322,Redemption,455324,Haryana,Faridabad,B30,36-45,Male,23.6,Net Banking,Verified,2024,41.0
INV000048,2024-07-10,119092,Lumpsum,90014,Rajasthan,Jaipur,T30,36-45,Female,15.0,Mandate,Verified,2024,48.0
INV000048,2024-11-07,101207,SIP,836,Rajasthan,Jaipur,T30,36-45,Female,15.0,UPI,Verified,2024,120.0
INV000048,2025-01-01,101206,SIP,6362,Rajasthan,Jaipur,T30,36-45,Female,15.0,Net Banking,Verified,2025,55.0
INV000048,2025-02-06,125498,SIP,3421,Rajasthan,Jaipur,T30,36-45,Female,15.0,Mandate,Verified,2025,36.0
INV000049,2024-03-30,102885,SIP,14874,Maharashtra,Nashik,B30,36-45,Male,23.8,Mandate,Verified,2024,70.0
INV000049,2025-05-29,120843,SIP,9376,Maharashtra,Nashik,B30,36-45,Male,23.8,Mandate,Verified,2025,425.0
INV000050,2025-01-02,120504,SIP,23180,Maharashtra,Pune,T30,36-45,Male,13.4,UPI,Verified,2025,129.0
INV000051,2024-05-19,119093,SIP,4603,Haryana,Gurugram,T30,36-45,Male,21.0,Net Banking,Verified,2024,79.0
INV000051,2024-06-27,119095,Lumpsum,275973,Haryana,Gurugram,T30,36-45,Male,21.0,Mandate,Verified,2024,39.0
INV000051,2025-01-08,100025,Lumpsum,453519,Haryana,Gurugram,T30,36-45,Male,21.0,UPI,Verified,2025,167.0
INV000052,2024-06-17,149324,Redemption,304131,Tamil Nadu,Coimbatore,B30,26-35,Male,19.1,Cheque,Verified,2024,58.0
INV000052,2024-08-18,119092,SIP,11154,Tamil Nadu,Coimbatore,B30,26-35,Male,19.1,Net Banking,Verified,2024,62.0
INV000052,2024-09-28,125497,SIP,2409,Tamil Nadu,Coimbatore,B30,26-35,Male,19.1,Mandate,Verified,2024,41.0
INV000052,2025-02-04,120504,Lumpsum,440009,Tamil Nadu,Coimbatore,B30,26-35,Male,19.1,UPI,Verified,2025,129.0
INV000052,2025-05-19,101206,Lumpsum,106392,Tamil Nadu,Coimbatore,B30,26-35,Male,19.1,Cheque,Verified,2025,104.0
INV000054,2024-07-16,101206,SIP,2377,Telangana,Hyderabad,T30,46-55,Female,37.5,Net Banking,Verified,2024,46.0
INV000054,2024-10-02,118633,SIP,2671,Telangana,Hyderabad,T30,46-55,Female,37.5,UPI,Verified,2024,78.0
INV000054,2025-01-13,148567,SIP,5770,Telangana,Hyderabad,T30,46-55,Female,37.5,Net Banking,Verified,2025,103.0
INV000054,2025-02-27,125497,SIP,5616,Telangana,Hyderabad,T30,46-55,Female,37.5,Net Banking,Verified,2025,45.0
INV000054,2025-05-01,119092,Lumpsum,266293,Telangana,Hyderabad,T30,46-55,Female,37.5,Net Banking,Verified,2025,63.0
INV000055,2024-04-12,100025,SIP,27583,Karnataka,Bangalore,T30,26-35,Male,13.5,UPI,Verified,2024,51.0
INV000055,2024-08-21,102885,Redemption,305549,Karnataka,Bangalore,T30,26-35,Male,13.5,Net Banking,Verified,2024,107.0
INV000055,2024-10-09,102885,SIP,8149,Karnataka,Bangalore,T30,26-35,Male,13.5,Cheque,Verified,2024,49.0
INV000055,2024-12-05,149323,Lumpsum,175837,Karnataka,Bangalore,T30,26-35,Male,13.5,Net Banking,Verified,2024,57.0
INV000055,2025-03-02,101206,Lumpsum,157249,Karnataka,Bangalore,T30,26-35,Male,13.5,UPI,Verified,2025,44.0
INV000056,2024-02-28,118636,SIP,16592,Haryana,Faridabad,B30,26-35,Female,22.5,Cheque,Verified,2024,49.0
INV000056,2024-08-07,119092,SIP,27798,Haryana,Faridabad,B30,26-35,Female,22.5,Net Banking,Verified,2024,161.0
INV000056,2024-09-21,148568,SIP,2270,Haryana,Faridabad,B30,26-35,Female,22.5,UPI,Verified,2024,45.0
INV000056,2024-11-08,120504,Lumpsum,8394,Haryana,Faridabad,B30,26-35,Female,22.5,Mandate,Verified,2024,48.0
INV000056,2025-01-18,149324,SIP,802,Haryana,Faridabad,B30,26-35,Female,22.5,Mandate,Verified,2025,51.0
INV000056,2025-04-22,119092,Redemption,221278,Haryana,Faridabad,B30,26-35,Female,22.5,Mandate,Verified,2025,94.0
INV000057,2024-09-21,148568,SIP,988,Tamil Nadu,Chennai,T30,36-45,Male,59.9,Net Banking,Pending,2024,65.0
INV000057,2024-11-10,120842,Lumpsum,114489,Tamil Nadu,Chennai,T30,36-45,Male,59.9,Cheque,Verified,2024,50.0
INV000057,2025-01-02,120507,Lumpsum,378367,Tamil Nadu,Chennai,T30,36-45,Male,59.9,Mandate,Verified,2025,53.0
INV000057,2025-02-17,100016,SIP,7900,Tamil Nadu,Chennai,T30,36-45,Male,59.9,Cheque,Pending,2025,46.0
INV000057,2025-04-13,120842,SIP,28928,Tamil Nadu,Chennai,T30,36-45,Male,59.9,Net Banking,Verified,2025,55.0
INV000058,2024-05-14,119093,SIP,2727,Maharashtra,Mumbai,T30,26-35,Male,19.9,Net Banking,Verified,2024,85.0
INV000058,2024-07-11,125498,SIP,9437,Maharashtra,Mumbai,T30,26-35,Male,19.9,Net Banking,Pending,2024,58.0
INV000058,2024-11-09,120843,SIP,953,Maharashtra,Mumbai,T30,26-35,Male,19.9,Net Banking,Verified,2024,121.0
INV000060,2024-07-25,149323,SIP,3397,Madhya Pradesh,Indore,T30,36-45,Male,45.6,Mandate,Verified,2024,90.0
INV000061,2024-05-21,125497,Redemption,386074,Tamil Nadu,Chennai,T30,26-35,Female,23.3,Net Banking,Verified,2024,50.0
INV000061,2024-11-16,119598,Redemption,217242,Tamil Nadu,Chennai,T30,26-35,Female,23.3,Cheque,Verified,2024,179.0
INV000062,2024-06-19,101208,Lumpsum,398495,Haryana,Faridabad,B30,46-55,Male,22.9,UPI,Verified,2024,106.0
INV000062,2024-08-17,119551,Lumpsum,364007,Haryana,Faridabad,B30,46-55,Male,22.9,Mandate,Verified,2024,59.0
INV000062,2024-10-05,120504,SIP,8886,Haryana,Faridabad,B30,46-55,Male,22.9,Cheque,Verified,2024,49.0
INV000062,2025-03-02,119599,Redemption,386688,Haryana,Faridabad,B30,46-55,Male,22.9,Cheque,Verified,2025,148.0
INV000062,2025-05-08,149324,SIP,54533,Haryana,Faridabad,B30,46-55,Male,22.9,Mandate,Verified,2025,67.0
INV000063,2025-03-30,119092,SIP,2078,Uttar Pradesh,Agra,B30,46-55,Male,88.9,Cheque,Verified,2025,403.0
INV000065,2024-05-06,119094,SIP,56749,Maharashtra,Mumbai,T30,46-55,Female,43.2,Cheque,Verified,2024,122.0
INV000065,2024-07-14,120505,SIP,6646,Maharashtra,Mumbai,T30,46-55,Female,43.2,Mandate,Verified,2024,69.0
INV000065,2024-10-25,120507,SIP,5659,Maharashtra,Mumbai,T30,46-55,Female,43.2,Mandate,Verified,2024,103.0
INV000065,2025-02-23,119598,Redemption,225321,Maharashtra,Mumbai,T30,46-55,Female,43.2,UPI,Verified,2025,121.0
INV000065,2025-04-08,149323,SIP,47265,Maharashtra,Mumbai,T30,46-55,Female,43.2,UPI,Verified,2025,44.0
INV000066,2024-10-24,148568,Lumpsum,97512,Haryana,Faridabad,B30,56+,Male,64.2,Mandate,Pending,2024,115.0
INV000066,2025-01-25,119095,Lumpsum,235133,Haryana,Faridabad,B30,56+,Male,64.2,Net Banking,Verified,2025,61.0
INV000069,2024-06-07,118633,SIP,10838,Gujarat,Ahmedabad,T30,56+,Female,35.9,UPI,Verified,2024,82.0
INV000069,2024-09-06,120843,SIP,52274,Gujarat,Ahmedabad,T30,56+,Female,35.9,UPI,Verified,2024,61.0
INV000069,2024-12-23,120503,SIP,14420,Gujarat,Ahmedabad,T30,56+,Female,35.9,Net Banking,Verified,2024,49.0
INV000069,2025-05-01,120842,SIP,2662,Gujarat,Ahmedabad,T30,56+,Female,35.9,UPI,Verified,2025,110.0
INV000070,2024-08-06,148567,SIP,884,West Bengal,Kolkata,T30,56+,Female,20.1,Cheque,Verified,2024,145.0
INV000070,2024-09-14,120842,SIP,821,West Bengal,Kolkata,T30,56+,Female,20.1,UPI,Verified,2024,39.0
INV000070,2025-02-18,120507,Redemption,208920,West Bengal,Kolkata,T30,56+,Female,20.1,Cheque,Verified,2025,157.0
INV000071,2024-05-24,120844,Redemption,11077,Madhya Pradesh,Bhopal,B30,26-35,Female,18.2,UPI,Verified,2024,56.0
